Date,Ticker,Open,Close
01/31/1871,_SPXTRD,0.018285551,0.018285551
02/28/1871,_SPXTRD,0.018626902,0.018626902
03/31/1871,_SPXTRD,0.019175406,0.019175406
04/30/1871,_SPXTRD,0.019829945,0.019829945
05/31/1871,_SPXTRD,0.020383718,0.020383718
06/30/1871,_SPXTRD,0.020312116,0.020312116
07/31/1871,_SPXTRD,0.020031754,0.020031754
08/31/1871,_SPXTRD,0.020328947,0.020328947
09/30/1871,_SPXTRD,0.020627299,0.020627299
10/31/1871,_SPXTRD,0.019654402,0.019654402
11/30/1871,_SPXTRD,0.019955814,0.019955814
12/31/1871,_SPXTRD,0.020526367,0.020526367
01/31/1872,_SPXTRD,0.021105541,0.021105541
02/29/1872,_SPXTRD,0.021309274,0.021309274
03/31/1872,_SPXTRD,0.02205634,0.02205634
04/30/1872,_SPXTRD,0.022807096,0.022807096
05/31/1872,_SPXTRD,0.022904596,0.022904596
06/30/1872,_SPXTRD,0.022782717,0.022782717
07/31/1872,_SPXTRD,0.022715617,0.022715617
08/31/1872,_SPXTRD,0.022549606,0.022549606
09/30/1872,_SPXTRD,0.022330708,0.022330708
10/31/1872,_SPXTRD,0.022503118,0.022503118
11/30/1872,_SPXTRD,0.022561307,0.022561307
12/31/1872,_SPXTRD,0.023186105,0.023186105
01/31/1873,_SPXTRD,0.023469277,0.023469277
02/28/1873,_SPXTRD,0.02381285,0.02381285
03/31/1873,_SPXTRD,0.023707111,0.023707111
04/30/1873,_SPXTRD,0.02349128,0.02349128
05/31/1873,_SPXTRD,0.02368041,0.02368041
06/30/1873,_SPXTRD,0.023522539,0.023522539
07/31/1873,_SPXTRD,0.023600521,0.023600521
08/31/1873,_SPXTRD,0.023737994,0.023737994
09/30/1873,_SPXTRD,0.022036768,0.022036768
10/31/1873,_SPXTRD,0.020268181,0.020268181
11/30/1873,_SPXTRD,0.019667862,0.019667862
12/31/1873,_SPXTRD,0.021664052,0.021664052
01/31/1874,_SPXTRD,0.022918372,0.022918372
02/28/1874,_SPXTRD,0.023689074,0.023689074
03/31/1874,_SPXTRD,0.0234835,0.0234835
04/30/1874,_SPXTRD,0.02290762,0.02290762
05/31/1874,_SPXTRD,0.022471691,0.022471691
06/30/1874,_SPXTRD,0.022471247,0.022471247
07/31/1874,_SPXTRD,0.022595963,0.022595963
08/31/1874,_SPXTRD,0.022783355,0.022783355
09/30/1874,_SPXTRD,0.023290458,0.023290458
10/31/1874,_SPXTRD,0.023354744,0.023354744
11/30/1874,_SPXTRD,0.023611449,0.023611449
12/31/1874,_SPXTRD,0.023677849,0.023677849
01/31/1875,_SPXTRD,0.023818337,0.023818337
02/28/1875,_SPXTRD,0.023895166,0.023895166
03/31/1875,_SPXTRD,0.024299367,0.024299367
04/30/1875,_SPXTRD,0.02476199,0.02476199
05/31/1875,_SPXTRD,0.023965038,0.023965038
06/30/1875,_SPXTRD,0.023565454,0.023565454
